iter	Passed	Remaining
843	4279	791
844	4284	785
845	4289	780
846	4294	775
847	4298	770
848	4303	765
849	4307	760
850	4311	754
851	4316	749
852	4322	744
853	4326	739
854	4331	734
855	4336	729
856	4341	724
857	4346	719
858	4350	714
859	4355	709
860	4360	703
861	4364	698
862	4369	693
863	4373	688
864	4378	683
865	4382	678
866	4387	673
867	4392	667
868	4397	662
869	4402	657
870	4406	652
871	4411	647
872	4416	642
873	4421	637
874	4426	632
875	4430	627
876	4435	622
877	4440	616
878	4444	611
879	4450	606
880	4455	601
881	4459	596
882	4464	591
883	4468	586
884	4472	581
885	4476	576
886	4481	570
887	4486	565
888	4490	560
889	4495	555
890	4500	550
891	4504	545
892	4508	540
893	4514	535
894	4519	530
895	4524	525
896	4528	520
897	4533	514
898	4538	509
899	4543	504
900	4548	499
901	4553	494
902	4557	489
903	4563	484
904	4567	479
905	4571	474
906	4577	469
907	4582	464
908	4586	459
909	4591	454
910	4596	449
911	4600	443
912	4604	438
913	4610	433
914	4615	428
915	4619	423
916	4625	418
917	4629	413
918	4633	408
919	4638	403
920	4642	398
921	4647	393
922	4651	388
923	4657	383
924	4662	378
925	4666	372
926	4671	367
927	4676	362
928	4680	357
929	4685	352
930	4691	347
931	4696	342
932	4700	337
933	4705	332
934	4710	327
935	4714	322
936	4719	317
937	4724	312
938	4728	307
939	4732	302
940	4737	297
941	4742	292
942	4746	286
943	4751	281
944	4755	276
945	4759	271
946	4763	266
947	4768	261
948	4772	256
949	4776	251
950	4781	246
951	4786	241
952	4790	236
953	4794	231
954	4799	226
955	4803	221
956	4807	216
957	4811	210
958	4816	205
959	4820	200
960	4824	195
961	4828	190
962	4833	185
963	4838	180
964	4842	175
965	4846	170
966	4851	165
967	4855	160
968	4860	155
969	4865	150
970	4869	145
971	4873	140
972	4878	135
973	4882	130
974	4886	125
975	4890	120
976	4895	115
977	4900	110
978	4904	105
979	4908	100
980	4913	95
981	4917	90
982	4921	85
983	4925	80
984	4930	75
985	4934	70
986	4938	65
987	4942	60
988	4947	55
989	4951	50
990	4955	45
991	4960	40
992	4964	34
993	4968	29
994	4972	24
995	4977	19
996	4981	14
997	4985	9
998	4990	4
999	4994	0
